,batsman,batsman_runs,ball,boundaries,dismissed,dot_balls,man_of_match,match_30+,total_matches,strike_rate,%age_not_out,%age_dot_balls,%age_boundaries,%30+runs,average_suns_per_match,Strike_rate_in_powerplay,Strike_rate_in_death_overs,Player,batsman_rank,bowling_rank,allrounder_rank
55,N Rana,1437,1093,199.0,53.0,451.0,4.0,17.0,55,131.47,3.64,41.26,18.21,30.91,26.13,111.28526645768024,175.86206896551724,N Rana,40.0,183.0,40.0
56,BJ Hodge,1400,1153,165.0,46.0,439.0,6.0,21.0,63,121.42,26.98,38.07,14.31,33.33,22.22,87.57396449704143,161.96721311475412,BJ Hodge,66.0,105.0,21.0
57,SS Tiwary,1379,1192,149.0,48.0,450.0,0.0,18.0,69,115.69,30.43,37.75,12.5,26.09,19.99,95.67901234567901,145.16129032258064,SS Tiwary,85.0,-,-
58,HH Pandya,1349,897,179.0,47.0,329.0,6.0,15.0,74,150.39,36.49,36.68,19.96,20.27,18.23,48.64864864864865,177.91932059447984,HH Pandya,51.0,169.0,37.0
59,SC Ganguly,1349,1326,179.0,54.0,662.0,5.0,21.0,56,101.73,3.57,49.92,13.5,37.5,24.09,97.96296296296296,160.56338028169014,SC Ganguly,87.0,196.0,66.0
60,DJ Hussey,1322,1101,150.0,49.0,425.0,2.0,19.0,61,120.07,19.67,38.6,13.62,31.15,21.67,112.60504201680672,172.0496894409938,DJ Hussey,72.0,249.0,84.0
61,CA Lynn,1280,938,191.0,37.0,401.0,4.0,19.0,41,136.46,9.76,42.75,20.36,46.34,31.22,142.11502782931353,125.0,CA Lynn,26.0,-,-
62,EJG Morgan,1272,1037,162.0,49.0,441.0,1.0,18.0,59,122.66,16.95,42.53,15.62,30.51,21.56,87.35632183908046,171.6216216216216,EJG Morgan,69.0,-,-
63,Ishan Kishan,1211,907,164.0,40.0,359.0,2.0,17.0,46,133.52,13.04,39.58,18.08,36.96,26.33,118.12297734627832,201.61290322580646,Ishan Kishan,37.0,-,-
64,TM Dilshan,1153,1047,164.0,41.0,492.0,1.0,17.0,50,110.12,18.0,46.99,15.66,34.0,23.06,107.01754385964912,172.3404255319149,TM Dilshan,88.0,231.0,82.0
65,KM Jadhav,1141,947,137.0,50.0,352.0,2.0,11.0,75,120.49,33.33,37.17,14.47,14.67,15.21,80.72289156626506,138.15384615384616,KM Jadhav,97.0,-,-
66,IK Pathan,1139,981,124.0,53.0,372.0,2.0,9.0,82,116.11,35.37,37.92,12.64,10.98,13.89,124.61538461538461,148.1578947368421,IK Pathan,124.0,59.0,25.0
