,batsman,batsman_runs,ball,boundaries,dismissed,dot_balls,man_of_match,match_30+,total_matches,strike_rate,%age_not_out,%age_dot_balls,%age_boundaries,%30+runs,average_suns_per_match,Strike_rate_in_powerplay,Strike_rate_in_death_overs,Player,batsman_rank,bowling_rank,allrounder_rank
210,P Dogra,127,141,9.0,12.0,63.0,0.0,1.0,12,90.07,0.0,44.68,6.38,8.33,10.58,0.0,113.63636363636364,P Dogra,217.0,-,-
211,K Rabada,125,135,13.0,9.0,65.0,1.0,1.0,13,92.59,30.77,48.15,9.63,7.69,9.62,25.0,111.11111111111111,K Rabada,218.0,58.0,65.0
212,MC Juneja,125,134,12.0,7.0,54.0,0.0,1.0,7,93.28,0.0,40.3,8.96,14.29,17.86,111.11111111111111,55.55555555555556,MC Juneja,202.0,-,-
213,BB Samantray,125,116,15.0,5.0,48.0,0.0,2.0,8,107.76,37.5,41.38,12.93,25.0,15.62,68.18181818181817,124.0,BB Samantray,190.0,-,-
214,B Lee,124,102,16.0,10.0,46.0,2.0,0.0,19,121.57,47.37,45.1,15.69,0.0,6.53,0.0,130.0,B Lee,208.0,102.0,79.0
215,AB McDonald,123,103,13.0,5.0,38.0,0.0,2.0,9,119.42,44.44,36.89,12.62,22.22,13.67,157.89473684210526,120.0,AB McDonald,179.0,187.0,96.0
216,UT Yadav,122,135,15.0,14.0,70.0,8.0,0.0,34,90.37,58.82,51.85,11.11,0.0,3.59,0.0,97.34513274336283,UT Yadav,231.0,97.0,88.0
217,MM Sharma,122,120,13.0,14.0,54.0,2.0,0.0,25,101.67,44.0,45.0,10.83,0.0,4.88,0.0,101.38888888888889,MM Sharma,227.0,78.0,76.0
218,Niraj Patel,121,124,15.0,5.0,61.0,0.0,2.0,6,97.58,16.67,49.19,12.1,33.33,20.17,76.27118644067797,163.1578947368421,Niraj Patel,188.0,-,-
219,DL Vettori,121,118,13.0,7.0,46.0,1.0,0.0,16,102.54,56.25,38.98,11.02,0.0,7.56,0.0,115.09433962264151,DL Vettori,223.0,48.0,64.0
220,RJ Harris,117,112,9.0,12.0,46.0,1.0,0.0,21,104.46,42.86,41.07,8.04,0.0,5.57,0.0,117.8082191780822,RJ Harris,225.0,31.0,56.0
221,Z Khan,117,141,13.0,15.0,74.0,1.0,0.0,27,82.98,44.44,52.48,9.22,0.0,4.33,0.0,103.0612244897959,Z Khan,232.0,22.0,54.0
222,DJM Short,115,102,16.0,7.0,48.0,0.0,2.0,7,112.75,0.0,47.06,15.69,28.57,16.43,79.36507936507937,0.0,DJM Short,183.0,-,-
223,M Kartik,113,109,8.0,7.0,32.0,1.0,0.0,14,103.67,50.0,29.36,7.34,0.0,8.07,0.0,101.44927536231884,M Kartik,224.0,89.0,81.0
224,DJ Harris,111,103,16.0,3.0,52.0,0.0,2.0,4,107.77,25.0,50.49,15.53,50.0,27.75,86.36363636363636,0.0,DJ Harris,162.0,-,-
225,JDP Oram,106,110,11.0,8.0,50.0,1.0,1.0,11,96.36,27.27,45.45,10.0,9.09,9.64,0.0,135.13513513513513,JDP Oram,221.0,243.0,111.0
226,DS Kulkarni,104,113,9.0,9.0,50.0,0.0,0.0,20,92.04,55.0,44.25,7.96,0.0,5.2,0.0,101.04166666666667,DS Kulkarni,230.0,56.0,68.0
227,RJ Quiney,103,105,15.0,7.0,57.0,0.0,1.0,7,98.1,0.0,54.29,14.29,14.29,14.71,87.83783783783784,0.0,RJ Quiney,211.0,-,-
228,CJ Ferguson,98,119,9.0,6.0,58.0,0.0,0.0,8,82.35,25.0,48.74,7.56,0.0,12.25,70.83333333333334,100.0,CJ Ferguson,226.0,-,-
229,DJ Jacobs,92,101,14.0,7.0,62.0,0.0,1.0,7,91.09,0.0,61.39,13.86,14.29,13.14,89.24731182795699,0.0,DJ Jacobs,215.0,-,-
230,RT Ponting,91,129,7.0,8.0,69.0,0.0,0.0,9,70.54,11.11,53.49,5.43,0.0,10.11,60.0,0.0,RT Ponting,229.0,-,-
231,SL Malinga,88,103,11.0,12.0,59.0,6.0,0.0,20,85.44,40.0,57.28,10.68,0.0,4.4,0.0,86.95652173913044,SL Malinga,233.0,3.0,48.0
232,IR Jaggi,76,100,6.0,5.0,51.0,0.0,0.0,7,76.0,28.57,51.0,6.0,0.0,10.86,67.56756756756756,85.71428571428571,IR Jaggi,228.0,-,-
